local_id,local_name,local_slug,supabase_id,supabase_name,supabase_slug,match_method,confidence,local_category,supabase_category,local_equipment,supabase_equipment,local_video_asset,supabase_media_path,status,reason
1,Partner plank band row,partner-plank-band-row,,,,UNMATCHED,0.00,Abdominals,,Bands,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
2,Banded crunch isometric hold,banded-crunch-isometric-hold,,,,UNMATCHED,0.00,Abdominals,,Bands,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
3,FYR Banded Plank Jack,banded-plank-jack,,,,UNMATCHED,0.00,Abdominals,,Bands,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
4,Banded crunch,banded-crunch,,,,UNMATCHED,0.00,Abdominals,,Bands,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
5,Crunch,crunch,2,Sit-Up,sit-up,ALIAS_MEDIA_MATCH,0.99,Abdominals,ABS,Bands,Body Only,sit-up.mp4,video/ABS/gif-male/conventional sit-up male.gif,CONFLICT,local linked video filename equals Supabase media filename: sit-up.mp4; incompatible  equipment
6,Decline band press sit-up,decline-band-press-sit-up,,,,UNMATCHED,0.00,Abdominals,,Bands,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
7,FYR2 Banded Frog Pump,banded-frog-pump,,,,UNMATCHED,0.00,Abdominals,,Bands,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
8,Band low-to-high twist,band-low-to-high-twist,,,,UNMATCHED,0.00,Abdominals,,Bands,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
9,Barbell roll-out,barbell-roll-out,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
10,Barbell Ab Rollout - On Knees,barbell-ab-rollout-on-knees,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
11,Decline bar press sit-up,decline-bar-press-sit-up,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
12,Bench barbell roll-out,bench-barbell-roll-out,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
